job_id,title,company,career,education,location,salary,job_category,skills,posted_at,due_date,summary,url,scraped_at
52082156,LLMResearch Engineer,올거나이즈코리아(주),경력 1~20년,학력무관,서울강남구 경력 1~20년 학력무관 정규직·병역특례,서울강남구 | 경력 1~20년 | 학력무관 | 정규직·병역특례,"Git, NLP(자연어처리), Python, Pytorch, 컨텐츠제공","Git, NLP(자연어처리), Python, Pytorch, 컨텐츠제공",~ 11/18(화),입사지원,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52082156&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=fcea675e-3d78-4819-ac09-101ab6dbab8c,2025-11-11T06:18:31.597105
52082143,LLMProject Manager (5년 이상),올거나이즈코리아(주),경력 5~12년,고졸↑,서울강남구 경력 5~12년 고졸↑ 정규직,서울강남구 | 경력 5~12년 | 고졸↑ | 정규직,"S/W, 기획, AI(인공지능), 전략기획, PM(프로젝트매니저)","S/W, 기획, AI(인공지능), 전략기획, PM(프로젝트매니저)",~ 11/18(화),입사지원,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52082143&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=fcea675e-3d78-4819-ac09-101ab6dbab8c,2025-11-11T06:18:31.599445
52094846,[전략기획팀] 사업 기획 담당,엔에이치엔케이씨피,경력6년↑,대졸↑,서울구로구 경력6년↑ 대졸↑ 정규직,서울구로구 | 경력6년↑ | 대졸↑ | 정규직,"사업관리, 조직관리, 실적관리, 기획, 신사업발굴","사업관리, 조직관리, 실적관리, 기획, 신사업발굴",채용시,홈페이지 지원,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52094846&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=fcea675e-3d78-4819-ac09-101ab6dbab8c,2025-11-11T06:18:31.601786
52072210,[현대캐피탈]LLMOps Engineer,현대캐피탈(주),경력 4~10년,대졸↑,서울중구 경력 4~10년 대졸↑ 정규직,서울중구 | 경력 4~10년 | 대졸↑ | 정규직,"GCP, Kubernetes, AWS, Azure, Docker","GCP, Kubernetes, AWS, Azure, Docker",~ 11/20(목),입사지원,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52072210&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=fcea675e-3d78-4819-ac09-101ab6dbab8c,2025-11-11T06:18:31.604230
50972921,ML Engineer (LLM/ML Ops),토스증권(주),경력무관,학력무관,서울강남구 경력무관 학력무관 정규직,서울강남구 | 경력무관 | 학력무관 | 정규직,"네트워크, 기술지원, 머신러닝, 데이터엔지니어","네트워크, 기술지원, 머신러닝, 데이터엔지니어",~ 11/15(토),홈페이지 지원,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50972921&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=fcea675e-3d78-4819-ac09-101ab6dbab8c,2025-11-11T06:18:31.606685
52100352,[WBL] AI Model Production -LLM,(주)업스테이지,경력 2~20년,학력무관,경기전체 경력 2~20년 학력무관 정규직,경기전체 | 경력 2~20년 | 학력무관 | 정규직,"AI(인공지능), Pytorch, 소프트웨어개발","AI(인공지능), Pytorch, 소프트웨어개발",~ 11/19(수),입사지원,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52100352&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=fcea675e-3d78-4819-ac09-101ab6dbab8c,2025-11-11T06:18:31.608934
52100470,AI Enterprise Manager,(주)업스테이지,경력5년↑,고졸↑,경기용인시 수지구 경력5년↑ 고졸↑ 정규직,경기용인시 수지구 | 경력5년↑ | 고졸↑ | 정규직,"서비스기획, SE(시스템엔지니어), 상품기획, 기획, 시장조사","서비스기획, SE(시스템엔지니어), 상품기획, 기획, 시장조사",~ 11/19(수),입사지원,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52100470&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=fcea675e-3d78-4819-ac09-101ab6dbab8c,2025-11-11T06:18:31.611437
52127110,[Catalyst] SEO / GEO 컨설턴트,콘센트릭스서비스코리아(유),신입·경력,학력무관,서울강남구 신입·경력 학력무관 정규직,서울강남구 | 신입·경력 | 학력무관 | 정규직,"데이터 사이언티스트, 데이터라벨링, 데이터분석가, 데이터엔지니어, IT컨설팅","데이터 사이언티스트, 데이터라벨링, 데이터분석가, 데이터엔지니어, IT컨설팅",~ 11/30(일),입사지원,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52127110&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=fcea675e-3d78-4819-ac09-101ab6dbab8c,2025-11-11T06:18:31.613721
52177682,[t'order Inc.] AI에이전트 PM(Product Manager) 모집,(주)티오더,경력5년↑,대졸↑,서울영등포구 경력5년↑ 대졸↑ 정규직,서울영등포구 | 경력5년↑ | 대졸↑ | 정규직,"API, 서비스기획, 사업기획, 기획, 개발PM","API, 서비스기획, 사업기획, 기획, 개발PM",채용시,입사지원,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52177682&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=fcea675e-3d78-4819-ac09-101ab6dbab8c,2025-11-11T06:18:31.616092
52228232,글로벌 금융 서비스 운영 담당자 (Global Svc Ops),(주)센트비,경력 3~7년,학력무관,서울영등포구 경력 3~7년 학력무관 정규직,서울영등포구 | 경력 3~7년 | 학력무관 | 정규직,"서비스기획, 유지보수, 기술지원, 국제금융","서비스기획, 유지보수, 기술지원, 국제금융",~ 01/04(일),홈페이지 지원,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52228232&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=fcea675e-3d78-4819-ac09-101ab6dbab8c,2025-11-11T06:18:31.618433
