job_id,title,company,location,salary,skills,posted_at,closes_at,url,scraped_at
52242444,패널딥데이터센터 데이터사이언스팀데이터 분석가(신입/경력),(주)마크로밀엠브레인,서울서초구 신입·경력 대졸↑ 정규직,서울서초구 | 신입·경력 | 대졸↑ | 정규직,수정일 25/11/06,~ 12/06(토),입사지원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52242444&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=c74d2a6b-730e-44ea-9027-1c259426e4cf,2025-11-11T06:02:43.554865
52155472,데이터 분석가신입 채용,파워메카(주),"서울금천구 신입 대졸↑ 정규직 3,200 만원","서울금천구 | 신입 | 대졸↑ | 정규직 | 3,200 만원",등록일 25/10/28,~ 11/27(목),입사지원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52155472&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=c74d2a6b-730e-44ea-9027-1c259426e4cf,2025-11-11T06:02:43.556482
52176392,[쿠팡] 카탈로그 운영데이터 분석가,쿠팡(주),서울송파구 경력3년↑ 대졸↑ 정규직,서울송파구 | 경력3년↑ | 대졸↑ | 정규직,등록일 25/10/30,~ 11/29(토),홈페이지 지원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52176392&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=c74d2a6b-730e-44ea-9027-1c259426e4cf,2025-11-11T06:02:43.558086
52180180,자동차데이터 분석가모집,(주)나무플래닛,서울송파구 경력무관 학력무관 정규직·프리랜서,서울송파구 | 경력무관 | 학력무관 | 정규직·프리랜서,등록일 25/10/30,~ 11/29(토),입사지원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52180180&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=c74d2a6b-730e-44ea-9027-1c259426e4cf,2025-11-11T06:02:43.559554
52067450,[미리디] 재무/회계데이터 분석가(Financial/Accounting Data),(주)미리디,서울구로구 경력 1~5년 학력무관 정규직,서울구로구 | 경력 1~5년 | 학력무관 | 정규직,수정일 25/10/17,~ 12/16(화),홈페이지 지원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52067450&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=c74d2a6b-730e-44ea-9027-1c259426e4cf,2025-11-11T06:02:43.561024
52128902,[미리디]데이터 분석가,(주)미리디,서울구로구 경력 3~7년 학력무관 정규직,서울구로구 | 경력 3~7년 | 학력무관 | 정규직,수정일 25/10/28,~ 12/23(화),홈페이지 지원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52128902&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=c74d2a6b-730e-44ea-9027-1c259426e4cf,2025-11-11T06:02:43.562730
52269112,[PTKOREA]데이터 분석가,펑타이그레이터차이나(유),서울강남구 경력 3~7년 대졸↑ 정규직,서울강남구 | 경력 3~7년 | 대졸↑ | 정규직,등록일 25/11/10,~ 11/30(일),홈페이지 지원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52269112&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=c74d2a6b-730e-44ea-9027-1c259426e4cf,2025-11-11T06:02:43.564153
52100680,게임데이터 분석가,(주)게임듀오,경기성남시 분당구 경력 1~5년 학력무관 정규직,경기성남시 분당구 | 경력 1~5년 | 학력무관 | 정규직,등록일 25/10/21,상시채용,입사지원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52100680&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=c74d2a6b-730e-44ea-9027-1c259426e4cf,2025-11-11T06:02:43.565600
51877845,데이터 분석가(경력),(주)더블다운인터액티브,서울강남구 경력3년↑ 학력무관 정규직,서울강남구 | 경력3년↑ | 학력무관 | 정규직,수정일 25/09/24,채용시,입사지원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51877845&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=c74d2a6b-730e-44ea-9027-1c259426e4cf,2025-11-11T06:02:43.567125
52243047,맨데이터(주)데이터 분석가채용,맨데이터(주),서울영등포구 경력3년↑ 대졸↑ 정규직,서울영등포구 | 경력3년↑ | 대졸↑ | 정규직,수정일 25/11/07,~ 12/06(토),입사지원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52243047&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=c74d2a6b-730e-44ea-9027-1c259426e4cf,2025-11-11T06:02:43.568632
