job_id,title,company,career,education,location,salary,job_category,skills,posted_at,due_date,summary,url,scraped_at
52080238,경력 3년이상 백엔드 Java/SpringBoot 개발자,빅스데이터(주),경력 3~10년,초대졸↑,서울강남구 경력 3~10년 초대졸↑ 정규직,서울강남구 | 경력 3~10년 | 초대졸↑ | 정규직,"백엔드/서버개발, 웹개발, Java, API, 풀스택","백엔드/서버개발, 웹개발, Java, API, 풀스택",~ 12/19(금),입사지원,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52080238&location=ts&searchword=%EB%B0%B1%EC%97%94%EB%93%9C+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=cf4411eb-d3f7-4cf7-868b-743436ed09f6,2025-11-11T06:18:28.561241
51983863,[정규직] RPA (UiPath) 개발 및백엔드 개발자모집,(주)휘게,경력 1~3년,대졸↑,서울마포구 경력 1~3년 대졸↑ 정규직,서울마포구 | 경력 1~3년 | 대졸↑ | 정규직,"백엔드/서버개발, MySQL, API, 아키텍쳐, Windows","백엔드/서버개발, MySQL, API, 아키텍쳐, Windows",~ 12/04(목),입사지원,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51983863&location=ts&searchword=%EB%B0%B1%EC%97%94%EB%93%9C+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=cf4411eb-d3f7-4cf7-868b-743436ed09f6,2025-11-11T06:18:28.563739
52058687,백엔드/ 서버 사이드 개발자 모집,(주)솔텍시스템,경력무관,초대졸↑,서울강서구 경력무관 초대졸↑ 정규직,서울강서구 | 경력무관 | 초대졸↑ | 정규직,"백엔드/서버개발, 소프트웨어개발","백엔드/서버개발, 소프트웨어개발",상시채용,입사지원,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52058687&location=ts&searchword=%EB%B0%B1%EC%97%94%EB%93%9C+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=cf4411eb-d3f7-4cf7-868b-743436ed09f6,2025-11-11T06:18:28.565968
51899295,백엔드(spring) / 프론트엔드(react/vue) 개발자 모집,(주)아이스크림미디어,경력 8~15년,대졸↑,경기성남시 분당구 경력 8~15년 대졸↑ 정규직·프리랜서,경기성남시 분당구 | 경력 8~15년 | 대졸↑ | 정규직·프리랜서,"백엔드/서버개발, 웹개발, 프론트엔드, React, Vue.js","백엔드/서버개발, 웹개발, 프론트엔드, React, Vue.js",~ 11/22(토),입사지원,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51899295&location=ts&searchword=%EB%B0%B1%EC%97%94%EB%93%9C+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=cf4411eb-d3f7-4cf7-868b-743436ed09f6,2025-11-11T06:18:28.568446
52029926,백엔드 개발자(Replication),오케스트로(주),경력 3~15년,학력무관,서울전체 경력 3~15년 학력무관 정규직,서울전체 | 경력 3~15년 | 학력무관 | 정규직,"백엔드/서버개발, Java, Python, Kubernetes, Linux","백엔드/서버개발, Java, Python, Kubernetes, Linux",내일마감,입사지원,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52029926&location=ts&searchword=%EB%B0%B1%EC%97%94%EB%93%9C+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=cf4411eb-d3f7-4cf7-868b-743436ed09f6,2025-11-11T06:18:28.570933
52142777,[IT운영팀] 프론트 &백엔드 개발자모집,(주)에드원,경력 3~5년,학력무관,서울영등포구 경력 3~5년 학력무관 정규직,서울영등포구 | 경력 3~5년 | 학력무관 | 정규직,"백엔드/서버개발, 웹개발, 프론트엔드, Java, 앱개발","백엔드/서버개발, 웹개발, 프론트엔드, Java, 앱개발",~ 11/16(일),입사지원,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52142777&location=ts&searchword=%EB%B0%B1%EC%97%94%EB%93%9C+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=cf4411eb-d3f7-4cf7-868b-743436ed09f6,2025-11-11T06:18:28.573374
52043647,서버개발 및백엔드 개발자경력직 채용 공고,주식회사 넥스팟솔루션,경력 3~7년,대졸↑,경기성남시 분당구 경력 3~7년 대졸↑ 정규직,경기성남시 분당구 | 경력 3~7년 | 대졸↑ | 정규직,"백엔드/서버개발, 정보보안","백엔드/서버개발, 정보보안",~ 11/14(금),입사지원,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52043647&location=ts&searchword=%EB%B0%B1%EC%97%94%EB%93%9C+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=cf4411eb-d3f7-4cf7-868b-743436ed09f6,2025-11-11T06:18:28.575684
52215946,서비스개발본부 백엔드개발팀 백엔드개발자,주식회사비큐에이아이,경력8년↑,대졸↑,서울중구 경력8년↑ 대졸↑ 정규직,서울중구 | 경력8년↑ | 대졸↑ | 정규직,"백엔드/서버개발, DBA, 소프트웨어개발","백엔드/서버개발, DBA, 소프트웨어개발",~ 01/03(토),입사지원,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52215946&location=ts&searchword=%EB%B0%B1%EC%97%94%EB%93%9C+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=cf4411eb-d3f7-4cf7-868b-743436ed09f6,2025-11-11T06:18:28.578142
51963911,[경력] JAVA백엔드 개발자정규직 채용 공고,데이터투테크놀로지(주),경력3년↑,대졸↑,경기성남시 분당구 경력3년↑ 대졸↑ 정규직,경기성남시 분당구 | 경력3년↑ | 대졸↑ | 정규직,"백엔드/서버개발, Java, 유지보수, Javascript, 풀스택","백엔드/서버개발, Java, 유지보수, Javascript, 풀스택",~ 11/30(일),입사지원,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51963911&location=ts&searchword=%EB%B0%B1%EC%97%94%EB%93%9C+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=cf4411eb-d3f7-4cf7-868b-743436ed09f6,2025-11-11T06:18:28.580531
52029739,백엔드 개발자(Kubernetes Platform),오케스트로(주),경력 7~15년,학력무관,서울전체 경력 7~15년 학력무관 정규직,서울전체 | 경력 7~15년 | 학력무관 | 정규직,"백엔드/서버개발, Java, Git, Kubernetes, Docker","백엔드/서버개발, Java, Git, Kubernetes, Docker",내일마감,입사지원,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52029739&location=ts&searchword=%EB%B0%B1%EC%97%94%EB%93%9C+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=cf4411eb-d3f7-4cf7-868b-743436ed09f6,2025-11-11T06:18:28.582890
52205290,백엔드 개발자(5년이상) 모집,(주)누리인포스,경력5년↑,초대졸↑,경기성남시 분당구 경력5년↑ 초대졸↑ 정규직,경기성남시 분당구 | 경력5년↑ | 초대졸↑ | 정규직,"백엔드/서버개발, Java, Javascript, API, JPA","백엔드/서버개발, Java, Javascript, API, JPA",~ 12/03(수),입사지원,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52205290&location=ts&searchword=%EB%B0%B1%EC%97%94%EB%93%9C+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=cf4411eb-d3f7-4cf7-868b-743436ed09f6,2025-11-11T06:18:28.585181
